SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,CENSO_N_GRUPO,CENSO_MEAN_EDAD,CENSO_MEAN_ESCOLARIDAD,CENSO_PCT_URBANO,CENSO_PCT_LLEGADA_RECIENTE,CENSO_PCT_OCUPADO
M,50 A 54,URUGUAY,2018,5,COQUIMBO,3.0,,,,3,2018,URY,7.60653360377048,0.164777608940113,8.336,641.0,27.525741029641186,10.238689547581902,0.9126365054602185,0.46333853354134164,0.374414976599064
M,50 A 54,URUGUAY,2018,6,VALPARAÍSO,23.0,3.0,,3.0,26,2018,URY,7.60653360377048,0.164777608940113,8.336,1411.0,29.564847625797306,11.10347271438696,0.9220411055988661,0.4684620836286322,0.3692416725726435
M,50 A 54,URUGUAY,2018,7,METROPOLITANA DE SANTIAGO,129.0,4.0,,4.0,133,2018,URY,7.60653360377048,0.164777608940113,8.336,15017.0,28.97496171006193,11.01848268499366,0.9868149430645269,0.4931078111473663,0.4231820302606145
M,50 A 54,URUGUAY,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,,,,5,2018,URY,7.60653360377048,0.164777608940113,8.336,664.0,31.143072289156628,11.095022624434389,0.8704819277108434,0.45481927710843373,0.3870481927710843
M,50 A 54,URUGUAY,2018,9,MAULE,6.0,,,,6,2018,URY,7.60653360377048,0.164777608940113,8.336,517.0,30.220502901353964,11.310077519379846,0.8858800773694391,0.4738878143133462,0.344294003868472
M,50 A 54,URUGUAY,2018,10,ÑUBLE,1.0,,,,1,2018,URY,7.60653360377048,0.164777608940113,8.336,170.0,30.488235294117647,12.248520710059172,0.8647058823529412,0.5058823529411764,0.3176470588235294
M,50 A 54,URUGUAY,2018,11,BIOBÍO,9.0,,,,9,2018,URY,7.60653360377048,0.164777608940113,8.336,725.0,29.48551724137931,11.86344827586207,0.9627586206896551,0.47586206896551725,0.3544827586206897
M,50 A 54,URUGUAY,2018,12,LA ARAUCANÍA,4.0,1.0,,1.0,5,2018,URY,7.60653360377048,0.164777608940113,8.336,337.0,33.910979228486646,12.526785714285714,0.7774480712166172,0.4421364985163205,0.3768545994065282
M,50 A 54,URUGUAY,2018,13,LOS RÍOS,1.0,,,,1,2018,URY,7.60653360377048,0.164777608940113,8.336,153.0,31.58169934640523,12.647058823529411,0.7973856209150327,0.43790849673202614,0.40397350993377484
M,50 A 54,URUGUAY,2018,14,LOS LAGOS,9.0,,,,9,2018,URY,7.60653360377048,0.164777608940113,8.336,454.0,29.147577092511014,11.187637969094922,0.8193832599118943,0.45374449339207046,0.3920704845814978
M,50 A 54,URUGUAY,2018,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,1.0,,,,1,2018,URY,7.60653360377048,0.164777608940113,8.336,284.0,27.764084507042252,10.785211267605634,0.9683098591549296,0.5,0.3908450704225352
M,50 A 54,URUGUAY,2018,17,REGIÓN IGNORADA,,5.0,,5.0,5,2018,URY,7.60653360377048,0.164777608940113,8.336,1426.5,29.055279659839353,11.063174141620422,0.9035320332019542,0.4801120197086752,0.369354270828099
M,50 A 54,URUGUAY,2019,1,ARICA Y PARINACOTA,1.0,,,,1,2019,URY,7.88198870879619,0.928351141267498,8.836,256.0,25.109375,9.5078125,0.97265625,0.4296875,0.3203125
M,50 A 54,URUGUAY,2019,3,ANTOFAGASTA,3.0,,,,3,2019,URY,7.88198870879619,0.928351141267498,8.836,900.0,26.405555555555555,10.350389321468299,0.9777777777777777,0.5522222222222222,0.38264738598442716
M,50 A 54,URUGUAY,2019,4,ATACAMA,1.0,,,,1,2019,URY,7.88198870879619,0.928351141267498,8.836,289.0,28.380622837370243,10.371527777777779,0.9411764705882353,0.47058823529411764,0.28125
M,50 A 54,URUGUAY,2019,5,COQUIMBO,3.0,,,,3,2019,URY,7.88198870879619,0.928351141267498,8.836,641.0,27.525741029641186,10.238689547581902,0.9126365054602185,0.46333853354134164,0.374414976599064
M,50 A 54,URUGUAY,2019,6,VALPARAÍSO,23.0,3.0,,3.0,26,2019,URY,7.88198870879619,0.928351141267498,8.836,1411.0,29.564847625797306,11.10347271438696,0.9220411055988661,0.4684620836286322,0.3692416725726435
M,50 A 54,URUGUAY,2019,7,METROPOLITANA DE SANTIAGO,135.0,6.0,,6.0,141,2019,URY,7.88198870879619,0.928351141267498,8.836,15017.0,28.97496171006193,11.01848268499366,0.9868149430645269,0.4931078111473663,0.4231820302606145
M,50 A 54,URUGUAY,2019,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,4.0,,,,4,2019,URY,7.88198870879619,0.928351141267498,8.836,664.0,31.143072289156628,11.095022624434389,0.8704819277108434,0.45481927710843373,0.3870481927710843
M,50 A 54,URUGUAY,2019,9,MAULE,4.0,,,,4,2019,URY,7.88198870879619,0.928351141267498,8.836,517.0,30.220502901353964,11.310077519379846,0.8858800773694391,0.4738878143133462,0.344294003868472
M,50 A 54,URUGUAY,2019,10,ÑUBLE,1.0,,,,1,2019,URY,7.88198870879619,0.928351141267498,8.836,170.0,30.488235294117647,12.248520710059172,0.8647058823529412,0.5058823529411764,0.3176470588235294
M,50 A 54,URUGUAY,2019,11,BIOBÍO,8.0,,,,8,2019,URY,7.88198870879619,0.928351141267498,8.836,725.0,29.48551724137931,11.86344827586207,0.9627586206896551,0.47586206896551725,0.3544827586206897
M,50 A 54,URUGUAY,2019,12,LA ARAUCANÍA,7.0,2.0,,2.0,9,2019,URY,7.88198870879619,0.928351141267498,8.836,337.0,33.910979228486646,12.526785714285714,0.7774480712166172,0.4421364985163205,0.3768545994065282
M,50 A 54,URUGUAY,2019,13,LOS RÍOS,1.0,,,,1,2019,URY,7.88198870879619,0.928351141267498,8.836,153.0,31.58169934640523,12.647058823529411,0.7973856209150327,0.43790849673202614,0.40397350993377484
M,50 A 54,URUGUAY,2019,14,LOS LAGOS,9.0,,,,9,2019,URY,7.88198870879619,0.928351141267498,8.836,454.0,29.147577092511014,11.187637969094922,0.8193832599118943,0.45374449339207046,0.3920704845814978
M,50 A 54,URUGUAY,2019,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2.0,,,,2,2019,URY,7.88198870879619,0.928351141267498,8.836,284.0,27.764084507042252,10.785211267605634,0.9683098591549296,0.5,0.3908450704225352
M,50 A 54,URUGUAY,2019,17,REGIÓN IGNORADA,,3.0,,3.0,3,2019,URY,7.88198870879619,0.928351141267498,8.836,1426.5,29.055279659839353,11.063174141620422,0.9035320332019542,0.4801120197086752,0.369354270828099
M,50 A 54,URUGUAY,2020,1,ARICA Y PARINACOTA,1.0,,,,1,2020,URY,9.75640636078194,-7.35732706484723,10.413,256.0,25.109375,9.5078125,0.97265625,0.4296875,0.3203125
M,50 A 54,URUGUAY,2020,3,ANTOFAGASTA,3.0,,,,3,2020,URY,9.75640636078194,-7.35732706484723,10.413,900.0,26.405555555555555,10.350389321468299,0.9777777777777777,0.5522222222222222,0.38264738598442716
M,50 A 54,URUGUAY,2020,4,ATACAMA,1.0,,,,1,2020,URY,9.75640636078194,-7.35732706484723,10.413,289.0,28.380622837370243,10.371527777777779,0.9411764705882353,0.47058823529411764,0.28125
M,50 A 54,URUGUAY,2020,5,COQUIMBO,2.0,,,,2,2020,URY,9.75640636078194,-7.35732706484723,10.413,641.0,27.525741029641186,10.238689547581902,0.9126365054602185,0.46333853354134164,0.374414976599064
M,50 A 54,URUGUAY,2020,6,VALPARAÍSO,27.0,4.0,,4.0,31,2020,URY,9.75640636078194,-7.35732706484723,10.413,1411.0,29.564847625797306,11.10347271438696,0.9220411055988661,0.4684620836286322,0.3692416725726435
M,50 A 54,URUGUAY,2020,7,METROPOLITANA DE SANTIAGO,151.0,9.0,,9.0,160,2020,URY,9.75640636078194,-7.35732706484723,10.413,15017.0,28.97496171006193,11.01848268499366,0.9868149430645269,0.4931078111473663,0.4231820302606145
M,50 A 54,URUGUAY,2020,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,4.0,,,,4,2020,URY,9.75640636078194,-7.35732706484723,10.413,664.0,31.143072289156628,11.095022624434389,0.8704819277108434,0.45481927710843373,0.3870481927710843
M,50 A 54,URUGUAY,2020,9,MAULE,5.0,,,,5,2020,URY,9.75640636078194,-7.35732706484723,10.413,517.0,30.220502901353964,11.310077519379846,0.8858800773694391,0.4738878143133462,0.344294003868472
M,50 A 54,URUGUAY,2020,10,ÑUBLE,2.0,,,,2,2020,URY,9.75640636078194,-7.35732706484723,10.413,170.0,30.488235294117647,12.248520710059172,0.8647058823529412,0.5058823529411764,0.3176470588235294
M,50 A 54,URUGUAY,2020,11,BIOBÍO,7.0,,,,7,2020,URY,9.75640636078194,-7.35732706484723,10.413,725.0,29.48551724137931,11.86344827586207,0.9627586206896551,0.47586206896551725,0.3544827586206897
M,50 A 54,URUGUAY,2020,12,LA ARAUCANÍA,10.0,1.0,,1.0,11,2020,URY,9.75640636078194,-7.35732706484723,10.413,337.0,33.910979228486646,12.526785714285714,0.7774480712166172,0.4421364985163205,0.3768545994065282
M,50 A 54,URUGUAY,2020,13,LOS RÍOS,1.0,1.0,,1.0,2,2020,URY,9.75640636078194,-7.35732706484723,10.413,153.0,31.58169934640523,12.647058823529411,0.7973856209150327,0.43790849673202614,0.40397350993377484
M,50 A 54,URUGUAY,2020,14,LOS LAGOS,10.0,,,,10,2020,URY,9.75640636078194,-7.35732706484723,10.413,454.0,29.147577092511014,11.187637969094922,0.8193832599118943,0.45374449339207046,0.3920704845814978
M,50 A 54,URUGUAY,2020,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2.0,,,,2,2020,URY,9.75640636078194,-7.35732706484723,10.413,284.0,27.764084507042252,10.785211267605634,0.9683098591549296,0.5,0.3908450704225352
M,50 A 54,URUGUAY,2020,17,REGIÓN IGNORADA,,3.0,,3.0,3,2020,URY,9.75640636078194,-7.35732706484723,10.413,1426.5,29.055279659839353,11.063174141620422,0.9035320332019542,0.4801120197086752,0.369354270828099
M,50 A 54,URUGUAY,2021,1,ARICA Y PARINACOTA,2.0,,,,2,2021,URY,7.74791402314763,5.84427312558179,9.328,256.0,25.109375,9.5078125,0.97265625,0.4296875,0.3203125
M,50 A 54,URUGUAY,2021,3,ANTOFAGASTA,3.0,,,,3,2021,URY,7.74791402314763,5.84427312558179,9.328,900.0,26.405555555555555,10.350389321468299,0.9777777777777777,0.5522222222222222,0.38264738598442716
M,50 A 54,URUGUAY,2021,4,ATACAMA,3.0,,,,3,2021,URY,7.74791402314763,5.84427312558179,9.328,289.0,28.380622837370243,10.371527777777779,0.9411764705882353,0.47058823529411764,0.28125
M,50 A 54,URUGUAY,2021,5,COQUIMBO,3.0,,,,3,2021,URY,7.74791402314763,5.84427312558179,9.328,641.0,27.525741029641186,10.238689547581902,0.9126365054602185,0.46333853354134164,0.374414976599064
M,50 A 54,URUGUAY,2021,6,VALPARAÍSO,24.0,3.0,,3.0,27,2021,URY,7.74791402314763,5.84427312558179,9.328,1411.0,29.564847625797306,11.10347271438696,0.9220411055988661,0.4684620836286322,0.3692416725726435
M,50 A 54,URUGUAY,2021,7,METROPOLITANA DE SANTIAGO,154.0,6.0,2.0,8.0,162,2021,URY,7.74791402314763,5.84427312558179,9.328,15017.0,28.97496171006193,11.01848268499366,0.9868149430645269,0.4931078111473663,0.4231820302606145
M,50 A 54,URUGUAY,2021,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,,,,5,2021,URY,7.74791402314763,5.84427312558179,9.328,664.0,31.143072289156628,11.095022624434389,0.8704819277108434,0.45481927710843373,0.3870481927710843
M,50 A 54,URUGUAY,2021,9,MAULE,5.0,,,,5,2021,URY,7.74791402314763,5.84427312558179,9.328,517.0,30.220502901353964,11.310077519379846,0.8858800773694391,0.4738878143133462,0.344294003868472
M,50 A 54,URUGUAY,2021,10,ÑUBLE,2.0,,,,2,2021,URY,7.74791402314763,5.84427312558179,9.328,170.0,30.488235294117647,12.248520710059172,0.8647058823529412,0.5058823529411764,0.3176470588235294
M,50 A 54,URUGUAY,2021,11,BIOBÍO,6.0,,,,6,2021,URY,7.74791402314763,5.84427312558179,9.328,725.0,29.48551724137931,11.86344827586207,0.9627586206896551,0.47586206896551725,0.3544827586206897
M,50 A 54,URUGUAY,2021,12,LA ARAUCANÍA,10.0,,,,10,2021,URY,7.74791402314763,5.84427312558179,9.328,337.0,33.910979228486646,12.526785714285714,0.7774480712166172,0.4421364985163205,0.3768545994065282
M,50 A 54,URUGUAY,2021,13,LOS RÍOS,3.0,,,,3,2021,URY,7.74791402314763,5.84427312558179,9.328,153.0,31.58169934640523,12.647058823529411,0.7973856209150327,0.43790849673202614,0.40397350993377484
M,50 A 54,URUGUAY,2021,14,LOS LAGOS,9.0,,,,9,2021,URY,7.74791402314763,5.84427312558179,9.328,454.0,29.147577092511014,11.187637969094922,0.8193832599118943,0.45374449339207046,0.3920704845814978
M,50 A 54,URUGUAY,2021,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,1.0,1.0,,1.0,2,2021,URY,7.74791402314763,5.84427312558179,9.328,46.0,27.76086956521739,10.891304347826088,0.8043478260869565,0.5434782608695652,0.43478260869565216
M,50 A 54,URUGUAY,2021,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,3.0,,,,3,2021,URY,7.74791402314763,5.84427312558179,9.328,284.0,27.764084507042252,10.785211267605634,0.9683098591549296,0.5,0.3908450704225352
M,50 A 54,URUGUAY,2021,17,REGIÓN IGNORADA,,1.0,,1.0,1,2021,URY,7.74791402314763,5.84427312558179,9.328,1426.5,29.055279659839353,11.063174141620422,0.9035320332019542,0.4801120197086752,0.369354270828099
M,50 A 54,URUGUAY,2022,1,ARICA Y PARINACOTA,3.0,,,,3,2022,URY,9.10437983075439,4.48622703072073,7.877,256.0,25.109375,9.5078125,0.97265625,0.4296875,0.3203125
M,50 A 54,URUGUAY,2022,3,ANTOFAGASTA,4.0,,,,4,2022,URY,9.10437983075439,4.48622703072073,7.877,900.0,26.405555555555555,10.350389321468299,0.9777777777777777,0.5522222222222222,0.38264738598442716
M,50 A 54,URUGUAY,2022,4,ATACAMA,3.0,,,,3,2022,URY,9.10437983075439,4.48622703072073,7.877,289.0,28.380622837370243,10.371527777777779,0.9411764705882353,0.47058823529411764,0.28125
M,50 A 54,URUGUAY,2022,5,COQUIMBO,4.0,,,,4,2022,URY,9.10437983075439,4.48622703072073,7.877,641.0,27.525741029641186,10.238689547581902,0.9126365054602185,0.46333853354134164,0.374414976599064
